id	name_nl	name_en
850516	Independent alleles	Independent alleles
3832719	Slingersom	Alternating sum
13082320	Magische machine	Magical machine
15429256	Bitcoins	Bitcoins
19996627	Dawkins' wezel	Dawkins' weasel
20132482	∞ lus	∞ loop
21237279	Estimate parameters of HMM	Estimate parameters of HMM
26016456	Subset sum problem	Subset sum problem
33830131	Running cargo	Running cargo
36045749	Lettersoep	Letter soup
42831568	Kaartmakkers	Finding mates
46728100	Finding a shared motif	Finding a shared motif
56374393	Paardensprong	Knight move
57668011	Auditie	Audition
58054226	Linguistic complexity of a genome	Linguistic complexity of a genome
58851522	Levende voormalige presidenten	Living former presidents
59560975	Mad Libs	Mad Libs
70570533	Pozo Azul	Pozo Azul
71980743	Het vijfde element	The fifth element
72546886	Topological ordering of a DAG	Topological ordering of a DAG
73914958	Volkstelling op Mars	A Martian census
75449447	Creating a distance matrix	Creating a distance matrix
79216461	Multiple alignment	Multiple alignment
81530976	Lineup	Lineup
82359700	Number of breakpoints in a permutation	Number of breakpoints in a permutation
82601015	Plutokiller	Plutokiller
83874923	Theoretical spectrum of a linear peptide	Theoretical spectrum of a linear peptide
84716219	Overlap alignment	Overlap alignment
96978052	Transities en transversies	Transitions and transversions
97117010	Colored edges	Colored edges
104637440	Construction of Burrows-Wheeler transformed string	Construction of Burrows-Wheeler transformed string
108062771	Kwatro	Kwatro
108073872	Compute the probability of an HMM emitted string	Compute the probability of an HMM emitted string
112444173	Honkbal	Baseball
113082360	De drie wijzen	Three wise men
122335742	Metrokaart der exacte wetenschap	Subway map of the exact sciences
122590180	Auditie	Audition
128185117	Nieuwe huisstijl	New corporate design
129238034	FASTQ ontdubbeling	FASTQ deduplication
130559134	Interleaving two motifs	Interleaving two motifs
135042872	Belgische getallen	Belgian numbers
148918493	Viterbi algorithm	Viterbi algorithm
150398765	Minimum number of jumps	Minimum number of jumps
162096445	Overzicht git-status	Overview git-status
162310593	Sangersequenering	Sanger sequencing
174432505	ISBN	ISBN
182880102	ISBN	ISBN
185058033	Small parsimony on rooted trees	Small parsimony on rooted trees
185379876	Bestanden bundelen en comprimeren	File archiving and compression
185517559	Find DNA substrings encoding an amino acid string	Find DNA substrings encoding an amino acid string
187053144	De code van Hippocrates	The Hippocrates code
188958436	Narcistische getallen	
189028897	Aangebrande pannenkoeken	Burnt pancakes
192047393	123	123
201253878	Wow!-signaal	Wow!-signal
203584369	Glijbanen en ladders	Chutes and ladders
204555018	Klok	Clock
206081111	Hittegolf	
224871004	Global alignment with constant gap penalty	Global alignment with constant gap penalty
235903115	Makkie	Piece of cake
241382809	Boxing Day	Boxing Day
246080516	Triplerotatie	Triple rotation
252240418	Molecuulformule	Chemical formula
264696214	Hamming distance	Hamming distance
267469955	Fitting alignment	Fitting alignment
273943570	Pairwise global alignment	Pairwise global alignment
274968843	Translating RNA into protein	Translating RNA into protein
276629077	Dronken mier	Drunken ant
279985369	Koprolkalender	Rollover calendar
282807206	Machtige getallen	Powerful numbers
284336818	Bitcoins	Bitcoins
286850454	Achterpoortjes	Back channels
288791274	Approximate pattern matching	Approximate pattern matching
289356595	Geheimschrift van Dumas	Dumas cipher
300125229	Broncode	
303251929	HIV 11/25	HIV 11/25
304908314	Throwing dice	Throwing dice
308764941	Longest common subsequence	Longest common subsequence
308836641	Score a linear peptide against a spectrum	Score a linear peptide against a spectrum
317308934	Introductie tot CGI	
320517431	Stardoku	Stardoku
325238119	Repogenerator	Repo generator
325610135	Trilateratie	Trilateration
328212300	Lichaamstemperatuur	Personal warmth
334609337	Overlap alignment	Overlap alignment
338560084	Polka Dot	Polka Dot
341848809	ISBN	ISBN
345941930	De Parsons code	The Parsons code
348004950	Vier-vierkant	Four-square
352939929	Expected number of restriction sites	Expected number of restriction sites
353443350	Compute the probability of a hidden path	Compute the probability of a hidden path
360789472	Rijksregisternummer	National Register Number
362678366	Randomized motif search	Randomized motif search
363891618	Schiereiland	Peninsula
364433585	Biljarttafel	Billiards table
368084421	2-break sorting	2-break sorting
368174997	Hartslagen	Heartbeats
371846887	Linear-feedback shift register	Linear-feedback shift register
372060010	AC Meloen	AC Melon
376715040	Diana Cryptosysteem (1)	Diana Cryptosystem (1)
387454511	ISBN	ISBN
387716745	Reynoldsgetal	Reynolds number
388436191	Number to pattern	Number to pattern
392066817	Stopwatchbaby	Stopwatch baby
393598775	Liftparadox	Elevator paradox
394799899	Rijksregisternummer	National Register Number
395684792	Hoogste bergen op Aarde	Highest mountains on Earth
